Заголовок,Категория,Источник,Дата,Ссылка,Краткое описание
"В Турции в ДТП с туристическим автобусом пострадали 16 человек","Авто","LENTA","Fri, 29 May 2026 15:29:00 +0300","https://lenta.ru/news/2026/05/29/turk-avtobus/","отсутсвует"
"Рублев вышел в 1/8 финала «Ролан Гаррос»","Спорт","LENTA","Fri, 29 May 2026 15:28:00 +0300","https://lenta.ru/news/2026/05/29/rublev-vyshel-v-1-8-finala-rolan-garros/","отсутсвует"
"Методы воспитания сына довели россиянку до статьи","Силовые структуры","LENTA","Fri, 29 May 2026 15:28:00 +0300","https://lenta.ru/news/2026/05/29/lnr/","отсутсвует"
"МИД Польши возмутился героизацией бандеровцев на Украине","Мир","LENTA","Fri, 29 May 2026 15:27:06 +0300","https://lenta.ru/news/2026/05/29/mid-polshi-vozmutilsya-geroizatsiey-banderovtsev-na-ukraine/","отсутсвует"
"Стало известно об атаке БПЛА в Черном море","Мир","LENTA","Fri, 29 May 2026 15:25:08 +0300","https://lenta.ru/news/2026/05/29/stalo-izvestno-ob-atake-bpla-v-chernom-more/","отсутсвует"
"Полковник в отставке назвал цель беспилотников в Прибалтике, Польше и Румынии","Россия","LENTA","Fri, 29 May 2026 15:23:00 +0300","https://lenta.ru/news/2026/05/29/polkovnik-v-otstavke-nazval-tsel-upavshih-v-pribaltike-polshe-i-rumynii-bespilotnikov/","отсутсвует"
"Новое правительство Латвии пообещало решить одну насущную проблему","Бывший СССР","LENTA","Fri, 29 May 2026 15:20:00 +0300","https://lenta.ru/news/2026/05/29/novoe-pravitelstvo-latvii-poobeschalo-reshit-odnu-nasuschnuyu-problemu/","отсутсвует"
"На Солнце произошла мощная вспышка","Экономика","LENTA","Fri, 29 May 2026 15:18:51 +0300","https://lenta.ru/news/2026/05/29/na-solntse-proizoshla-moschnaya-vspyshka/","отсутсвует"
"Россиянка упала с лошади в санатории и отсудила 400 тысяч рублей","Путешествия","LENTA","Fri, 29 May 2026 15:17:24 +0300","https://lenta.ru/news/2026/05/29/rossiyanka-upala-s-loshadi-v-sanatorii-i-otsudila-400-tysyach-rubley/","отсутсвует"
"Дмитрий Маликов высказался о внешности обвиненной в анорексии дочери","Ценности","LENTA","Fri, 29 May 2026 15:14:08 +0300","https://lenta.ru/news/2026/05/29/dmitriy-malikov-vyskazalsya-o-vneshnosti-obvinennoy-v-anoreksii-docheri/","отсутсвует"
"Назван способ отключить слежку на смартфоне","Наука и техника","LENTA","Fri, 29 May 2026 15:13:42 +0300","https://lenta.ru/news/2026/05/29/privacy/","отсутсвует"
"Власти Севастополя пообещали вернуть бензин на заправки","Экономика","LENTA","Fri, 29 May 2026 15:12:00 +0300","https://lenta.ru/news/2026/05/29/budet/","отсутсвует"
"Нападение медведицы на человека попало на видео","Из жизни","LENTA","Fri, 29 May 2026 15:11:00 +0300","https://lenta.ru/news/2026/05/29/napadenie-medveditsy-na-cheloveka-popalo-na-video/","отсутсвует"
"Угощавшего школьниц кофе бариста заподозрили в растлении","Силовые структуры","LENTA","Fri, 29 May 2026 15:11:00 +0300","https://lenta.ru/news/2026/05/29/ugoschavshego-shkolnits-kofe-barista-zapodozrili-v-rastlenii/","отсутсвует"
"Армия России нанесла удары по Харьковской области","Бывший СССР","LENTA","Fri, 29 May 2026 15:09:00 +0300","https://lenta.ru/news/2026/05/29/armiya-rossii-nanesla-udary-po-harkovskoy-oblasti/","отсутсвует"
"В Кремле допустили движение Армении к ЕС с одним условием","Бывший СССР","LENTA","Fri, 29 May 2026 15:07:00 +0300","https://lenta.ru/news/2026/05/29/v-kremle-dopustili-dvizhenie-armenii-k-es-s-odnim-usloviem/","отсутсвует"
"МИД России пригрозил Румынии ответом","Мир","LENTA","Fri, 29 May 2026 15:04:00 +0300","https://lenta.ru/news/2026/05/29/mid-rossii-poobeschal-otvetit-rumynii/","отсутсвует"
"Важный партнер России стал активно закупать нефть в Африке и на Ближнем Востоке","Экономика","LENTA","Fri, 29 May 2026 15:04:00 +0300","https://lenta.ru/news/2026/05/29/vazhnyy-partner-rossii-stal-aktivno-zakupat-neft-v-afrike-i-na-blizhnem-vostoke/","отсутсвует"
"Сообщившего об уходе на СВО героя известных мемов заподозрили в обмане","Интернет и СМИ","LENTA","Fri, 29 May 2026 15:03:00 +0300","https://lenta.ru/news/2026/05/29/soobschivshego-ob-uhode-na-svo-geroya-izvestnyh-memov-zapodozrili-v-obmane/","отсутсвует"
"Партнеры России одобрили эксплуатацию МКС до 2030 года","Наука и техника","LENTA","Fri, 29 May 2026 14:58:58 +0300","https://lenta.ru/news/2026/05/29/partnery-rossii-odobrili-ekspluatatsiyu-mks-do-2030-goda/","отсутсвует"
"Траты властей Японии на спасение курса иены оказались рекордными","Экономика","LENTA","Fri, 29 May 2026 14:58:00 +0300","https://lenta.ru/news/2026/05/29/traty-vlastey-yaponii-na-spasenie-kursa-ieny-okazalis-rekordnymi/","отсутсвует"
"Град обрушился на Москву и попал на видео","Экономика","LENTA","Fri, 29 May 2026 14:56:00 +0300","https://lenta.ru/news/2026/05/29/grad-obrushilsya-na-moskvu-i-popal-na-video/","отсутсвует"
"В Тбилиси стартовал чемпионат мира по длинным нардам","Спорт","LENTA","Fri, 29 May 2026 14:55:00 +0300","https://lenta.ru/news/2026/05/29/v-tbilisi-startoval-chempionat-mira-po-nardam/","отсутсвует"
"Медведев заявил о ежедневном применении европейского оружия против России","Россия","LENTA","Fri, 29 May 2026 14:55:00 +0300","https://lenta.ru/news/2026/05/29/medvedev-zayavil-o-ezhednevnom-primenenii-evropeyskogo-oruzhiya-protiv-rossii/","отсутсвует"
"Представитель Армении перед Путиным высказался о планах страны на ЕАЭС","Бывший СССР","LENTA","Fri, 29 May 2026 14:51:00 +0300","https://lenta.ru/news/2026/05/29/predstavitel-armenii-pered-putinym-vyskazalsya-o-planah-strany-na-eaes/","отсутсвует"
"Медведев прокомментировал падение БПЛА на дом в Румынии","Россия","LENTA","Fri, 29 May 2026 14:50:00 +0300","https://lenta.ru/news/2026/05/29/medvedev-prokommentiroval-padenie-bpla-na-dom-v-rumynii/","отсутсвует"
"Певица Оливия Родриго ответила на обвинения в сексуализации детей","Ценности","LENTA","Fri, 29 May 2026 14:49:00 +0300","https://lenta.ru/news/2026/05/29/pevitsa-oliviya-rodrigo-otvetila-na-obvineniya-v-seksualizatsii-detey/","отсутсвует"
"Ушедший из России производитель объявил масштабный отзыв машин","Авто","LENTA","Fri, 29 May 2026 14:48:29 +0300","https://lenta.ru/news/2026/05/29/ushedshiy-iz-rossii-proizvoditel-ob-yavil-masshtabnyy-otzyv-mashin/","отсутсвует"
"Волгоградский киллер ответит за расправу над мужчиной и женщиной спустя 27 лет","Силовые структуры","LENTA","Fri, 29 May 2026 14:48:00 +0300","https://lenta.ru/news/2026/05/29/volgogradskiy-killer-otvetit-za-raspravu-nad-muzhchinoy-i-zhenschinoy-spustya-27-let/","отсутсвует"
"Российские угольные компании пострадали из-за крепкого рубля","Экономика","LENTA","Fri, 29 May 2026 14:47:00 +0300","https://lenta.ru/news/2026/05/29/coal/","отсутсвует"
"Румыния объявила о закрытии российского консульства и высылке дипломата","Мир","LENTA","Fri, 29 May 2026 14:46:51 +0300","https://lenta.ru/news/2026/05/29/rumyniya-ob-yavila-o-zakrytii-rossiyskogo-konsulstva-i-vysylke-diplomata/","отсутсвует"
"В России жестко раскритиковали позицию ЕС по инциденту с БПЛА в Румынии","Россия","LENTA","Fri, 29 May 2026 14:44:00 +0300","https://lenta.ru/news/2026/05/29/v-rossii-zhestko-raskritikovali-pozitsiyu-es-po-intsidentu-s-bpla-v-rumynii/","отсутсвует"
"Уровень локализации возрожденного автобренда Volga назвали низким","Авто","LENTA","Fri, 15 May 2026 12:11:00 +0300","https://lenta.ru/news/2026/05/15/nizkovato/","отсутсвует"
"Российские химики выявили соединения против болезни Паркинсона","Моя страна","LENTA","Fri, 15 May 2026 12:08:22 +0300","https://lenta.ru/news/2026/05/15/rossiyskie-himiki-vyyavili-soedineniya-protiv-bolezni-parkinsona/","отсутсвует"
"Вооруженное нападение на девочку в Подмосковье квалифицировали как покушение на убийство","Силовые структуры","LENTA","Fri, 15 May 2026 12:06:57 +0300","https://lenta.ru/news/2026/05/15/vooruzhennoe-napadenie-na-devochku-v-podmoskovie-kvalifitsirovali-kak-pokushenie-na-ubiystvo/","отсутсвует"
"Россияне массово захотели снимать квартиры по неадекватной цене","Экономика","LENTA","Fri, 15 May 2026 12:05:58 +0300","https://lenta.ru/news/2026/05/15/rossiyane-massovo-zahoteli-snimat-kvartiry-po-neadekvatnoy-tsene/","отсутсвует"
"Названы любимые блюда отдыхающих в Турции по системе «все включено» россиян","Путешествия","LENTA","Fri, 15 May 2026 12:04:55 +0300","https://lenta.ru/news/2026/05/15/nazvany-lyubimye-blyuda-otdyhayuschih-v-turtsii-rossiyan-po-sisteme-vse-vklyucheno/","отсутсвует"
"Лавров в шутку пригрозил мешавшему ему журналисту оружием","Интернет и СМИ","LENTA","Fri, 15 May 2026 12:04:19 +0300","https://lenta.ru/news/2026/05/15/lavrov-v-shutku-prigrozil-meshavshemu-emu-zhurnalistu-oruzhiem/","отсутсвует"
"Серебро подешевело вслед за золотом","Экономика","LENTA","Fri, 15 May 2026 12:02:41 +0300","https://lenta.ru/news/2026/05/15/serebro-podeshevelo-vsled-za-zolotom/","отсутсвует"
"Москвичам пообещали скорую жару под 30 градусов","Экономика","LENTA","Fri, 15 May 2026 12:02:36 +0300","https://lenta.ru/news/2026/05/15/zhara-msk/","отсутсвует"
"Еще одна страна Европы столкнулась с ростом инфляции из-за войны в Иране","Экономика","LENTA","Fri, 15 May 2026 12:02:25 +0300","https://lenta.ru/news/2026/05/15/esche-odna-strana-evropy-stolknulas-s-rostom-inflyatsii-iz-za-voyny-v-irane/","отсутсвует"
"В смартфонах Samsung нашли мусорные программы","Наука и техника","LENTA","Fri, 15 May 2026 11:58:00 +0300","https://lenta.ru/news/2026/05/15/uninstall-it/","отсутсвует"
"Алиев прибыл в страну ЕАЭС","Бывший СССР","LENTA","Fri, 15 May 2026 11:53:00 +0300","https://lenta.ru/news/2026/05/15/aliev-pribyl-v-stranu-eaes/","отсутсвует"
"Лиза Моряк ответила на критику из-за роли в «Войне и мире» Андреасяна","Культура","LENTA","Fri, 15 May 2026 11:52:44 +0300","https://lenta.ru/news/2026/05/15/liza-moryak-otvetila-na-kritiku-iz-za-roli-v-voyne-i-mire-andreasyana/","отсутсвует"
"Азиатская страна резко нарастила экспорт машин в Россию","Авто","LENTA","Fri, 15 May 2026 11:52:00 +0300","https://lenta.ru/news/2026/05/15/aziatskaya-strana-rezko-narastila-eksport-mashin-v-rossiyu/","отсутсвует"
"Стало известно о новом обмене тел военных с Украиной","Россия","LENTA","Fri, 15 May 2026 11:51:00 +0300","https://lenta.ru/news/2026/05/15/rossiya-i-ukraina-nachali-obmen-telami-voennoplennyh/","отсутсвует"
"Устроившийся на работу российский студент получил статью о теракте","Силовые структуры","LENTA","Fri, 15 May 2026 11:50:00 +0300","https://lenta.ru/news/2026/05/15/ustroivshiysya-na-rabotu-rossiyskiy-student-poluchil-statyu-o-terakte/","отсутсвует"
"Раскрыт секрет роскошного украшения Джиджи Хадид","Ценности","LENTA","Fri, 15 May 2026 11:49:36 +0300","https://lenta.ru/news/2026/05/15/raskryt-sekret-roskoshnogo-ukrasheniya-dzhidzhi-hadid/","отсутсвует"
"Ведущая экономика Евросоюза получила тревожный прогноз","Экономика","LENTA","Fri, 15 May 2026 11:47:00 +0300","https://lenta.ru/news/2026/05/15/veduschaya-ekonomika-evrosoyuza-poluchila-trevozhnyy-prognoz/","отсутсвует"
"Раскрыты подробности массированной атаки ВСУ на один из древнейших городов России","Россия","LENTA","Fri, 15 May 2026 11:46:45 +0300","https://lenta.ru/news/2026/05/15/raskryty-podrobnosti-massirovannoy-ataki-vsu-na-odin-iz-drevneyshih-gorodov-rossii/","отсутсвует"
"«Скибка», «грядушка» и «растыка» попали в топ регионализмов","Интернет и СМИ","LENTA","Fri, 15 May 2026 11:44:00 +0300","https://lenta.ru/news/2026/05/15/skibka-gryadushka-i-rastyka-popali-v-top-regionalizmov/","отсутсвует"
"Российских борцов допустили до турниров с флагом и гимном","Спорт","LENTA","Fri, 15 May 2026 11:42:00 +0300","https://lenta.ru/news/2026/05/15/rossiyskih-bortsov-dopustili-do-turnirov-s-flagom-i-gimnom/","отсутсвует"
"В России дали характеристику отношениям с Арменией","Бывший СССР","LENTA","Fri, 15 May 2026 11:41:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-dali-harakteristiku-otnosheniyam-s-armeniey/","отсутсвует"
"Лавров отказался воспринимать слова европейцев всерьез","Мир","LENTA","Fri, 15 May 2026 11:37:00 +0300","https://lenta.ru/news/2026/05/15/lavrov-otkazalsya-vosprinimat-evropeytsev-vseriez/","отсутсвует"
"Лавров назвал предпочтительный путь разрешения украинского конфликта","Бывший СССР","LENTA","Fri, 15 May 2026 11:37:00 +0300","https://lenta.ru/news/2026/05/15/lavrov-nazval-predpochtitelnyy-put-razresheniya-ukrainskogo-konflikta/","отсутсвует"
"Вода в реке резко поднялась и залила дороги в российском городе","Экономика","LENTA","Fri, 15 May 2026 11:36:00 +0300","https://lenta.ru/news/2026/05/15/voda-v-reke-rezko-podnyalas-i-zalila-dorogi-v-rossiyskom-gorode/","отсутсвует"
"Заявления Трампа вновь подняли цены на нефть","Экономика","LENTA","Fri, 15 May 2026 11:36:00 +0300","https://lenta.ru/news/2026/05/15/zayavleniya-trampa-vnov-podnyali-tseny-na-neft/","отсутсвует"
"Пассажир выкурил сигарету в туалете летящего в Иркутск самолета и попался","Путешествия","LENTA","Fri, 15 May 2026 11:35:00 +0300","https://lenta.ru/news/2026/05/15/passazhir-vykuril-sigaretu-v-tualete-letyaschego-v-irkutsk-samoleta-i-popalsya/","отсутсвует"
"Пожертвовавший незнакомцу почку голливудский актер рассказал о последствиях операции","Забота о себе","LENTA","Fri, 15 May 2026 11:33:00 +0300","https://lenta.ru/news/2026/05/15/pozhertvovavshiy-neznakomtsu-pochku-gollivudskiy-akter-rasskazal-o-posledstviyah-operatsii/","отсутсвует"
"Число жертв атаки на Рязань выросло","Россия","LENTA","Fri, 15 May 2026 11:31:00 +0300","https://lenta.ru/news/2026/05/15/chislo-zhertv-ataki-na-ryazan-vyroslo/","отсутсвует"
"Скандальный стример открыл стрельбу у здания суда и ранил мужчину","Интернет и СМИ","LENTA","Fri, 15 May 2026 11:25:00 +0300","https://lenta.ru/news/2026/05/15/chud-the-builder/","отсутсвует"
"Назвавшийся епископом призывал россиян отказаться от паспортов и ИНН и поплатился","Россия","LENTA","Fri, 15 May 2026 11:22:00 +0300","https://lenta.ru/news/2026/05/15/nazvavshiysya-episkopom-prizyval-rossiyan-otkazatsya-ot-pasportov-i-inn-i-poplatilsya/","отсутсвует"
"В России заявили о возможности превентивного удара по Европе после атаки ВСУ на Рязань","Россия","LENTA","Fri, 15 May 2026 11:22:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-zayavili-o-vozmozhnosti-preventivnogo-udara-po-evrope-posle-ataki-vsu-na-ryazan/","отсутсвует"
"Лавров описал превращение Зеленского в фюрера","Бывший СССР","LENTA","Fri, 15 May 2026 11:22:00 +0300","https://lenta.ru/news/2026/05/15/lavrov-opisal-prevraschenie-zelenskogo-v-fyurera/","отсутсвует"
"Лавров раскрыл договоренности Трампа и Путина на Аляске","Мир","LENTA","Fri, 15 May 2026 11:19:00 +0300","https://lenta.ru/news/2026/05/15/lavrov-raskryl-dogovorennosti-trampa-i-putina-na-alyaske/","отсутсвует"
"Кантемир Балагов вышел на ковровую дорожку Каннского фестиваля","Ценности","LENTA","Fri, 15 May 2026 11:18:00 +0300","https://lenta.ru/news/2026/05/15/kantemir-balagov-vyshel-na-kovrovuyu-dorozhku-kannskogo-festivalya/","отсутсвует"
"Каждое шестое микропредприятие оказалось под угрозой закрытия в России","Экономика","LENTA","Fri, 15 May 2026 11:17:00 +0300","https://lenta.ru/news/2026/05/15/micro/","отсутсвует"
"Эстония начнет закрывать на ночь еще один КПП на границе с Россией","Путешествия","LENTA","Fri, 15 May 2026 11:15:00 +0300","https://lenta.ru/news/2026/05/15/estoniya-nachnet-zakryvat-na-noch-esche-odin-kpp-na-granitse-s-rossiey/","отсутсвует"
"Назван защищающий от заболеваний почек природный напиток","Наука и техника","LENTA","Fri, 15 May 2026 11:15:00 +0300","https://lenta.ru/news/2026/05/15/nazvan-zaschischayuschiy-ot-zabolevaniy-pochek-prirodnyy-napitok/","отсутсвует"
"Москвичей предупредили о грозе с дождем","Экономика","LENTA","Fri, 15 May 2026 11:12:00 +0300","https://lenta.ru/news/2026/05/15/moskvichey-predupredili-o-groze-s-dozhdem/","отсутсвует"
"В России объяснили способность западных компаний влиять на серый прокат кино в стране","Культура","LENTA","Fri, 15 May 2026 11:11:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-ob-yasnili-sposobnost-zapadnyh-kompaniy-vliyat-na-seryy-prokat-kino-v-strane/","отсутсвует"
"Печатный станок эпохи Ивана Грозного воссоздадут в российском регионе","Моя страна","LENTA","Fri, 15 May 2026 11:09:00 +0300","https://lenta.ru/news/2026/05/15/pechatnyy-stanok-epohi-ivana-groznogo-vossozdadut-v-rossiyskom-regione/","отсутсвует"
"В Польше начали массово увольнять украинских врачей","Мир","LENTA","Fri, 15 May 2026 11:08:00 +0300","https://lenta.ru/news/2026/05/15/v-polshe-nachali-massovo-uvolnyat-ukrainskih-vrachey/","отсутсвует"
"Россиянам предрекли спад цен на жилье в июне","Экономика","LENTA","Fri, 15 May 2026 11:04:00 +0300","https://lenta.ru/news/2026/05/15/ceny-jilyo/","отсутсвует"
"В Госдуме не поддержали законопроект о штрафах для водителей","Авто","LENTA","Fri, 15 May 2026 11:02:00 +0300","https://lenta.ru/news/2026/05/15/v-gosdume-ne-podderzhali-zakonoproekt-o-shtrafah/","отсутсвует"
"Водитель школьного автобуса выиграл 369 миллионов рублей по дороге на работу","Из жизни","LENTA","Fri, 15 May 2026 11:02:00 +0300","https://lenta.ru/news/2026/05/15/voditel-shkolnogo-avtobusa-vyigral-369-millionov-rubley-po-doroge-na-rabotu/","отсутсвует"
"Россиянин платком расправился с девушкой из кафе","Силовые структуры","LENTA","Fri, 15 May 2026 11:02:00 +0300","https://lenta.ru/news/2026/05/15/rossiyanin-platkom-raspravilsya-s-devushkoy-iz-kafe/","отсутсвует"
"Лавров назвал необычный факт об Украине","Бывший СССР","LENTA","Fri, 15 May 2026 11:00:00 +0300","https://lenta.ru/news/2026/05/15/lavrov-nazval-edinstvennuyu-v-mire-stranu-s-zapretom-ofitsialnogo-yazyka-oon/","отсутсвует"
"Мерц пожаловался на сложности в работе из-за Трампа","Мир","LENTA","Fri, 15 May 2026 10:58:00 +0300","https://lenta.ru/news/2026/05/15/merts-pozhalovalsya-na-slozhnosti-v-rabote-iz-za-trampa/","отсутсвует"
"В России призвали к жестким мерам после атаки на Рязань","Россия","LENTA","Fri, 15 May 2026 10:58:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-prizvali-k-zhestkim-meram-posle-ataki-na-ryazan/","отсутсвует"
"В России выступили с заявлением о новом Чернобыле после атаки ВСУ на сотрудников ЗАЭС","Россия","LENTA","Fri, 15 May 2026 10:54:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-vystupili-s-zayavleniem-o-novom-chernobyle-posle-ataki-vsu-na-sotrudnikov-zaes/","отсутсвует"
"Боец ММА погиб при спасении детей","Спорт","LENTA","Fri, 15 May 2026 10:53:00 +0300","https://lenta.ru/news/2026/05/15/boets-mma-pogib-pri-spasenii-detey/","отсутсвует"
"Международный забег дружбы пройдет в России и Китае в рамках «Зеленого Марафона»","Экономика","LENTA","Fri, 15 May 2026 10:52:38 +0300","https://lenta.ru/news/2026/05/15/mezhdunarodnyy-zabeg-druzhby-proydet-v-rossii-i-kitae-v-ramkah-zelenogo-marafona/","Две тысячи бегунов из России и две тысячи — из Китая одновременно выйдут на старт международного забега дружбы 30 мая в рамках «Зеленого Марафона» в Благовещенске и Хэйхэ. Каждый участник получит памятную медаль — символ личной победы.<br />"
"Зеленский заявил об обмене пленными с Россией","Бывший СССР","LENTA","Fri, 15 May 2026 10:51:00 +0300","https://lenta.ru/news/2026/05/15/zelenskiy-zayavil-o-obmene-plennymi-s-rossiey/","отсутсвует"
"Выбран самый лучший iPhone в истории","Наука и техника","LENTA","Fri, 15 May 2026 10:47:00 +0300","https://lenta.ru/news/2026/05/15/greatness/","отсутсвует"
"Популярная модель едва не оконфузилась на ковровой дорожке","Ценности","LENTA","Fri, 15 May 2026 10:38:00 +0300","https://lenta.ru/news/2026/05/15/populyarnaya-model-edva-ne-okonfuzilas-na-kovrovoy-dorozhkoy/","отсутсвует"
"Появились подробности нападения вооруженного ножом мужчины на девочку в Подмосковье","Силовые структуры","LENTA","Fri, 15 May 2026 10:38:00 +0300","https://lenta.ru/news/2026/05/15/poyavilis-podrobnosti-o-napadenii-vooruzhennogo-nozhom-muzhchiny-na-devochku-v-podmoskovie/","отсутсвует"
"Актер сериала «Счастливы вместе» погиб в зоне СВО","Культура","LENTA","Fri, 15 May 2026 10:37:00 +0300","https://lenta.ru/news/2026/05/15/akter-seriala-schastlivy-vmeste-chernyavskiy-pogib-v-zone-svo/","отсутсвует"
"Запад призвали вести трудные и неудобные разговоры с Россией","Мир","LENTA","Fri, 15 May 2026 10:34:00 +0300","https://lenta.ru/news/2026/05/15/zapad-prizvali-vesti-trudnye-i-neudobnye-razgovory-s-rossiey/","отсутсвует"
"«Р-Фарм» перенесла запуск производства жизненно важных лекарств","Экономика","LENTA","Fri, 15 May 2026 10:34:00 +0300","https://lenta.ru/news/2026/05/15/r-farm-perenesla-zapusk-proizvodstva-zhiznenno-vazhnyh-lekarstv/","отсутсвует"
"Авиабилеты в Центральную Азию подешевели почти на 30 процентов","Путешествия","LENTA","Fri, 15 May 2026 10:32:00 +0300","https://lenta.ru/news/2026/05/15/aviabilety-v-tsentralnuyu-aziyu-podesheveli-pochti-na-30-protsentov/","отсутсвует"
"Женщин старше 50 лет призвали отказаться от считающегося полезным угощения","Забота о себе","LENTA","Fri, 15 May 2026 10:30:00 +0300","https://lenta.ru/news/2026/05/15/zhenschin-starshe-50-let-prizvali-otkazatsya-ot-odnogo-schitayuschegosya-poleznym-ugoscheniya/","отсутсвует"
"США ответили на план Ирана об урегулировании конфликта","Мир","LENTA","Fri, 15 May 2026 10:28:00 +0300","https://lenta.ru/news/2026/05/15/ssha-otvergli-predlozhenie-irana-o-mire/","отсутсвует"
"Мбаппе саркастично высказался о непопадании в состав «Реала»","Спорт","LENTA","Fri, 15 May 2026 10:26:00 +0300","https://lenta.ru/news/2026/05/15/mbappe-sarkastichno-vyskazalsya-o-nepopadanii-v-sostav-reala/","отсутсвует"
"В офисе Зеленского ответили на слова о его проблемах с наркотиками","Бывший СССР","LENTA","Fri, 15 May 2026 10:26:00 +0300","https://lenta.ru/news/2026/05/15/v-ofise-zelenskogo-otvetili-na-slova-o-ego-problemah-s-narkotikami/","отсутсвует"
"Трамп рассказал о необычной просьбе к Си Цзиньпину","Мир","LENTA","Fri, 15 May 2026 10:25:00 +0300","https://lenta.ru/news/2026/05/15/tramp-rasskazal-o-neobychnoy-prosbe-k-si-tszinpinu/","отсутсвует"
"Мужчина ранил ножом семилетнюю девочку в российском городе","Силовые структуры","LENTA","Fri, 15 May 2026 10:24:00 +0300","https://lenta.ru/news/2026/05/15/muzhchina-ranil-nozhom-semiletnyuyu-devochku-v-rossiyskom-gorode/","отсутсвует"
"В Киеве обвинили Россию в появлении коррупции на Украине","Бывший СССР","LENTA","Fri, 15 May 2026 10:23:00 +0300","https://lenta.ru/news/2026/05/15/v-kieve-obvinili-rossiyu-v-poyavlenii-korruptsii-na-ukraine/","отсутсвует"
"Варламову запретили снимать пенсионеров в одной стране","Интернет и СМИ","LENTA","Fri, 15 May 2026 10:21:00 +0300","https://lenta.ru/news/2026/05/15/varlamovu-zapretili-snimat-pensionerov-v-odnoy-strane/","отсутсвует"
"Россиянин попал под следствие за оставленный в чате комментарий","Силовые структуры","LENTA","Fri, 15 May 2026 10:20:00 +0300","https://lenta.ru/news/2026/05/15/rossiyanin-popal-pod-sledstvie-za-ostavlennyy-v-chate-kommentariy/","отсутсвует"
"Трамп назвал виновных в упадке США","Мир","LENTA","Fri, 15 May 2026 10:19:00 +0300","https://lenta.ru/news/2026/05/15/tramp-nazval-vinovnyh-v-upadke-ssha/","отсутсвует"
"Продажи российских ноутбуков рухнули","Экономика","LENTA","Fri, 15 May 2026 10:15:00 +0300","https://lenta.ru/news/2026/05/15/ne-berut/","отсутсвует"
"Рекорд по количеству подростков-заключенных поставлен в московских СИЗО","Силовые структуры","LENTA","Fri, 15 May 2026 10:10:00 +0300","https://lenta.ru/news/2026/05/15/rekord-po-kolichestvu-podrostkov-zaklyuchennyh-postavlen-v-moskovskih-sizo/","отсутсвует"
"Раскрыты подробности нового обмена пленными с Украиной","Россия","LENTA","Fri, 15 May 2026 10:08:00 +0300","https://lenta.ru/news/2026/05/15/raskryty-podrobnosti-novogo-obmena-plennymi-s-ukrainoy/","отсутсвует"
"Бык раздавил грудь знаменитому ковбою во время родео","Из жизни","LENTA","Fri, 15 May 2026 10:05:00 +0300","https://lenta.ru/news/2026/05/15/byk-razdavil-grud-znamenitomu-kovboyu-vo-vremya-rodeo/","отсутсвует"
"Стала известна судьба сотен российских пленных","Россия","LENTA","Fri, 15 May 2026 10:04:00 +0300","https://lenta.ru/news/2026/05/15/stala-izvestna-sudba-soten-rossiyskih-plennyh/","отсутсвует"
"Агент Киева выслушал приговор за тайники с БПЛА в российском регионе","Силовые структуры","LENTA","Fri, 15 May 2026 10:03:00 +0300","https://lenta.ru/news/2026/05/15/agent-kieva-vyslushal-prigovor-za-tayniki-s-bpla-v-rossiyskom-regione/","отсутсвует"
"Аэропорт на юге России приостановил работу","Путешествия","LENTA","Fri, 15 May 2026 10:03:00 +0300","https://lenta.ru/news/2026/05/15/aeroport-na-yuge-rossii-priostanovil-rabotu/","отсутсвует"
"Акции авиагиганта упали после заявлений Трампа","Экономика","LENTA","Fri, 15 May 2026 09:59:00 +0300","https://lenta.ru/news/2026/05/15/aktsii-aviagiganta-upali-posle-zayavleniy-trampa/","отсутсвует"
"Папарацци запечатлели интимный момент 70-летнего актера с моделью на 26 лет моложе него","Ценности","LENTA","Fri, 15 May 2026 09:58:00 +0300","https://lenta.ru/news/2026/05/15/paparatstsi-zapechatleli-intimnyy-moment-70-letnego-aktera-s-modelyu-na-26-let-molozhe-nego/","отсутсвует"
"Ми-8 получил повреждения при посадке в российском регионе","Россия","LENTA","Fri, 15 May 2026 09:56:00 +0300","https://lenta.ru/news/2026/05/15/mi-8-poluchil-povrezhdeniya-pri-posadke-v-rossiyskom-regione/","отсутсвует"
"Раскрыто число потерпевших после вторжения ВСУ в Курскую область","Силовые структуры","LENTA","Fri, 15 May 2026 09:54:00 +0300","https://lenta.ru/news/2026/05/15/raskryto-chislo-poterpevshih-posle-vtorzheniya-vsu-v-kurskuyu-oblast/","отсутсвует"
"В России предложили новую социальную выплату","Россия","LENTA","Fri, 15 May 2026 09:54:00 +0300","https://lenta.ru/news/2026/05/15/v-rossii-predlozhili-novuyu-sotsialnuyu-vyplatu/","отсутсвует"
"На Украине оптимистично оценили арест Ермака","Бывший СССР","LENTA","Fri, 15 May 2026 09:52:00 +0300","https://lenta.ru/news/2026/05/15/na-ukraine-optimistichno-otsenili-arest-ermaka/","отсутсвует"
